"Shipping details saved successfully.","Shipping details saved successfully."
"Can not save the records.","Can not save the records."
"Choose Your Allowed Shipping","Versand und Abholung festlegen"
Admin,Admin
"Seller Wise","Seller Wise"
"Product Wise","Product Wise"
"* Required Fields","* Required Fields"
"Allowed Shipping","Zugelassene Lieferoptionen"
Save,Save
"Manage Multi Shipping","Versand und Abholung"
"Shipping Address","Shipping Address"
"New Address","New Address"
"Shipping Methods","Shipping Methods"
"Select Method","Select Method"
Price,Price
"Method Title","Method Title"
"Carrier Title","Carrier Title"
"Sorry, no quotes are available for this seller.","Dieser Händler bietet keine Lieferung an."
Next,Next
"Sorry, no quotes are available for this order at this time","Dieser Händler bietet momentan keine Lieferung an."
"Field ","Field "
" is required."," is required."
Submit,Submit
Shipping,Shipping
"Save Address","Save Address"
Cancel,Cancel
"Webkul Marketplace Multi Shipping","Webkul Marketplace Multi Shipping"
"Enabled for Checkout","Enabled for Checkout"
Title,Title
"Show Price","Show Price"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Multiship Shipping","Multiship Shipping"
MultiShipping,MultiShipping
